state,date,sex,age,ethnicity,population ('000)
Johor,1/1/2023,both,overall,overall,4100.9
Johor,1/1/2023,both,overall,bumi_malay,2231.6
Johor,1/1/2023,both,overall,bumi_other,59.2
Johor,1/1/2023,both,overall,chinese,1209.8
Johor,1/1/2023,both,overall,indian,245.1
Johor,1/1/2023,both,overall,other_citizen,19.3
Johor,1/1/2023,both,overall,other_noncitizen,335.9
Johor,1/1/2023,both,0-4,overall,261.2
Johor,1/1/2023,both,0-4,bumi_malay,188.3
Johor,1/1/2023,both,0-4,bumi_other,6.3
Johor,1/1/2023,both,0-4,chinese,49
Johor,1/1/2023,both,0-4,indian,13.5
Johor,1/1/2023,both,0-4,other_citizen,2
Johor,1/1/2023,both,0-4,other_noncitizen,2.2
Johor,1/1/2023,both,9-May,overall,310.1
Johor,1/1/2023,both,9-May,bumi_malay,190.4
Johor,1/1/2023,both,9-May,bumi_other,4.8
Johor,1/1/2023,both,9-May,chinese,92.8
Johor,1/1/2023,both,9-May,indian,19
Johor,1/1/2023,both,9-May,other_citizen,1
Johor,1/1/2023,both,9-May,other_noncitizen,2
Johor,1/1/2023,both,14-Oct,overall,338
Johor,1/1/2023,both,14-Oct,bumi_malay,206.2
Johor,1/1/2023,both,14-Oct,bumi_other,5.7
Johor,1/1/2023,both,14-Oct,chinese,101.3
Johor,1/1/2023,both,14-Oct,indian,22.2
Johor,1/1/2023,both,14-Oct,other_citizen,1.1
Johor,1/1/2023,both,14-Oct,other_noncitizen,1.4
Johor,1/1/2023,both,15-19,overall,338.7
Johor,1/1/2023,both,15-19,bumi_malay,194.4
Johor,1/1/2023,both,15-19,bumi_other,5.3
Johor,1/1/2023,both,15-19,chinese,99
Johor,1/1/2023,both,15-19,indian,21.4
Johor,1/1/2023,both,15-19,other_citizen,2.4
Johor,1/1/2023,both,15-19,other_noncitizen,16.2
Johor,1/1/2023,both,20-24,overall,403.1
Johor,1/1/2023,both,20-24,bumi_malay,201.5
Johor,1/1/2023,both,20-24,bumi_other,5.5
Johor,1/1/2023,both,20-24,chinese,102.7
Johor,1/1/2023,both,20-24,indian,21.4
Johor,1/1/2023,both,20-24,other_citizen,4.1
Johor,1/1/2023,both,20-24,other_noncitizen,67.9
Johor,1/1/2023,both,25-29,overall,381
Johor,1/1/2023,both,25-29,bumi_malay,183.6
Johor,1/1/2023,both,25-29,bumi_other,3.3
Johor,1/1/2023,both,25-29,chinese,100.8
Johor,1/1/2023,both,25-29,indian,20
Johor,1/1/2023,both,25-29,other_citizen,1.3
Johor,1/1/2023,both,25-29,other_noncitizen,72
Johor,1/1/2023,both,30-34,overall,340.4
Johor,1/1/2023,both,30-34,bumi_malay,174.3
